"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"YI","111, Inc.","2.95","55357537.65","18765267","2018","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","5.15","30965734.6","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","26.61","18627000","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","2.14","66600142.68","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","18.39","1182805390.23","n/a","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.31","45401862.87","n/a","2019","Finance","Banks","https://www.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","17.45","151015283.95","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","45.33","1157511159.96","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","6.82","426249515.78","62499929","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","16.6","1051359190.6","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","10.48","434653001.04","41474523","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"JOBS","51job, Inc.","69.34","2734965901.54","39442831","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"JFK","8i Enterprises Acquisition Corp","9.97","74052175","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfk",
"JFKKR","8i Enterprises Acquisition Corp","0.42","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkkr",
"JFKKU","8i Enterprises Acquisition Corp","10.52","52600000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkku",
"JFKKW","8i Enterprises Acquisition Corp","0.3002","1726150","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkkw",
"EGHT","8x8 Inc","24.81","2463323073.48","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"JFU","9F Inc.","9.98","88822000","8900000","2019","n/a","n/a","https://www.nasdaq.com/symbol/jfu",
"AAON","AAON, Inc.","47.07","2452678984.71","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"ABEO","Abeona Therapeutics Inc.","2.2","108494652.2","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","0.15","0","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","0.615","4944022.515","n/a","2014","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","193.01","8758159376.13","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","0.46","77487947.6","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","5.38","363485351.54","n/a","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","63.97","2627875765.55","n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","2.86","143380011.06","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","27.52","2436195203.2","n/a","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/achc",
